input,target
Old fella got talkin’ funny.,This person has slurred speech.
My skin itchy.,The elderly man has itchy skin.
That one got heart go fast.,I have been experiencing rapid heartbeat.
Me got head hurtin’.,This person has headache.
That one got cryin’ lot.,The children have crying a lot.
Me got cryin’ lot.,The children have crying a lot.
Them kids got can’t breathe good.,That person has shortness of breath.
Them kids got cough bad.,This person has severe cough.
That one got drink water plenty.,That person has excessive thirst.
This one got cryin’ lot.,He has crying a lot.
She got can’t breathe good.,She has shortness of breath.
This one got blood nose.,The children have nosebleed.
Me got blood nose.,I have been experiencing nosebleed.
Them kids got cryin’ lot.,I have been experiencing crying a lot.
Them kids got cough bad.,She has severe cough.
She got can’t breathe good.,She has shortness of breath.
I bin skin itchy.,I have been experiencing itchy skin.
My blood nose.,I have been experiencing nosebleed.
Them kids got back sore.,The children have back pain.
Them kids got skin rash.,The elderly man has skin rash.
My vomit come up.,The elderly man has vomiting.
Me got throwin’ up.,He has vomiting.
I bin skin rash.,She has skin rash.
He got body weak.,The child has body weakness.
This one got heart go fast.,My rapid heartbeat.
He got belly pain.,The child has abdominal pain.
Them kids got body weak.,The children have body weakness.
Lil one got heart go fast.,He has rapid heartbeat.
Them kids got can’t walk good.,She has difficulty walking.
Me got skin rash.,My skin rash.
She got head hurtin’.,My headache.
My can’t see straight.,My blurred vision.
This one got chest tight.,The elderly man has chest tightness.
This one got skin rash.,She has skin rash.
Me got can’t breathe good.,The child has shortness of breath.
Them kids got throwin’ up.,I have vomiting.
This one got hungry all time.,I have been experiencing increased appetite.
I bin skin rash.,My skin rash.
Me got drink water plenty.,I have been experiencing excessive thirst.
That one got cough bad.,I have been experiencing severe cough.
Me got cough bad.,My severe cough.
That one got body weak.,My body weakness.
That one got shiverin’.,The children have shivering.
My blood nose.,This person has nosebleed.
He got shiverin’.,The children have shivering.
Me got drink water plenty.,The child has excessive thirst.
Lil one got talkin’ funny.,The elderly man has slurred speech.
Lil one got leg swell up.,The elderly man has swollen leg.
Lil one got hot all night.,I have been experiencing fever.
That one got throwin’ up.,This person has vomiting.
Lil one got skin itchy.,That person has itchy skin.
Them kids got talkin’ funny.,That person has slurred speech.
He got blood nose.,This person has nosebleed.
I bin body weak.,She has body weakness.
She got blood nose.,The child has nosebleed.
Lil one got cryin’ lot.,My crying a lot.
Them kids got can’t breathe good.,She has shortness of breath.
That one got ear sore.,My earache.
He got can’t see straight.,He has blurred vision.
Old fella got drink water plenty.,The children have excessive thirst.
Old fella got hungry all time.,He has increased appetite.
He got vomit come up.,I have vomiting.
That one got eyes blurry.,That person has blurred vision.
Them kids got talkin’ funny.,This person has slurred speech.
My belly pain.,That person has abdominal pain.
He got vomit come up.,I have vomiting.
He got throwin’ up.,That person has vomiting.
This one got cryin’ lot.,I have been experiencing crying a lot.
Old fella got can’t breathe good.,The children have shortness of breath.
Lil one got cough bad.,He has severe cough.
My eyes blurry.,My blurred vision.
Old fella got hot all night.,The elderly man has fever.
She got can’t see straight.,I have blurred vision.
This one got skin rash.,I have skin rash.
I bin vomit come up.,The child has vomiting.
Lil one got blood nose.,She has nosebleed.
I bin belly pain.,I have abdominal pain.
He got back sore.,The elderly man has back pain.
He got cryin’ lot.,She has crying a lot.
My eyes blurry.,My blurred vision.
I bin hungry all time.,My increased appetite.
My cough bad.,I have been experiencing severe cough.
This one got chest tight.,I have chest tightness.
She got head hurtin’.,I have been experiencing headache.
Them kids got heart go fast.,This person has rapid heartbeat.
He got heart go fast.,He has rapid heartbeat.
I bin blood nose.,She has nosebleed.
Me got vomit come up.,She has vomiting.
Me got can’t walk good.,This person has difficulty walking.
My can’t breathe good.,I have been experiencing shortness of breath.
Me got talkin’ funny.,That person has slurred speech.
Lil one got leg swell up.,The elderly man has swollen leg.
My back sore.,He has back pain.
Me got hot all night.,I have been experiencing fever.
She got talkin’ funny.,The child has slurred speech.
Old fella got can’t see straight.,The children have blurred vision.
This one got shiverin’.,He has shivering.
Old fella got heart go fast.,He has rapid heartbeat.
He got can’t see straight.,She has blurred vision.
That one got leg swell up.,The child has swollen leg.
My cryin’ lot.,He has crying a lot.
Them kids got ear sore.,I have earache.
She got hungry all time.,The child has increased appetite.
Me got skin itchy.,This person has itchy skin.
Lil one got head hurtin’.,The elderly man has headache.
He got head hurtin’.,The children have headache.
She got eyes blurry.,This person has blurred vision.
Lil one got can’t walk good.,She has difficulty walking.
Lil one got leg swell up.,She has swollen leg.
Me got back sore.,The children have back pain.
Me got cryin’ lot.,The child has crying a lot.
That one got belly pain.,The elderly man has abdominal pain.
Them kids got hot all night.,The elderly man has fever.
Lil one got skin itchy.,The children have itchy skin.
That one got belly pain.,The children have abdominal pain.
That one got can’t walk good.,I have difficulty walking.
She got ear sore.,The children have earache.
Lil one got chest tight.,The child has chest tightness.
Them kids got can’t breathe good.,I have been experiencing shortness of breath.
He got eyes blurry.,This person has blurred vision.
Old fella got cough bad.,My severe cough.
This one got cryin’ lot.,My crying a lot.
Lil one got hot all night.,She has fever.
Lil one got back sore.,She has back pain.
He got skin itchy.,This person has itchy skin.
Me got throwin’ up.,The children have vomiting.
That one got talkin’ funny.,This person has slurred speech.
He got shiverin’.,He has shivering.
She got sore throat.,She has sore throat.
This one got hungry all time.,That person has increased appetite.
Lil one got heart go fast.,He has rapid heartbeat.
He got talkin’ funny.,He has slurred speech.
I bin cough bad.,My severe cough.
Lil one got cough bad.,That person has severe cough.
My back sore.,I have back pain.
Them kids got body weak.,That person has body weakness.
This one got leg swell up.,The child has swollen leg.
Them kids got vomit come up.,That person has vomiting.
I bin cough bad.,The elderly man has severe cough.
My belly pain.,The children have abdominal pain.
My leg swell up.,My swollen leg.
I bin shiverin’.,The elderly man has shivering.
Them kids got cryin’ lot.,That person has crying a lot.
That one got drink water plenty.,The elderly man has excessive thirst.
He got drink water plenty.,This person has excessive thirst.
Lil one got back sore.,My back pain.
This one got back sore.,She has back pain.
This one got blood nose.,The elderly man has nosebleed.
I bin can’t see straight.,The children have blurred vision.
Them kids got throwin’ up.,The children have vomiting.
That one got head hurtin’.,She has headache.
Them kids got belly pain.,This person has abdominal pain.
I bin chest tight.,The child has chest tightness.
This one got can’t walk good.,I have been experiencing difficulty walking.
My skin rash.,I have been experiencing skin rash.
Them kids got body weak.,I have been experiencing body weakness.
He got skin rash.,The child has skin rash.
This one got can’t walk good.,He has difficulty walking.
Me got eyes blurry.,That person has blurred vision.
He got head hurtin’.,The elderly man has headache.
Me got chest tight.,He has chest tightness.
I bin throwin’ up.,The children have vomiting.
I bin throwin’ up.,The child has vomiting.
Old fella got chest tight.,She has chest tightness.
That one got cryin’ lot.,She has crying a lot.
Lil one got cough bad.,My severe cough.
She got ear sore.,The children have earache.
He got cough bad.,The children have severe cough.
This one got sore throat.,I have been experiencing sore throat.
Lil one got body weak.,This person has body weakness.
Me got throwin’ up.,My vomiting.
My talkin’ funny.,That person has slurred speech.
My shiverin’.,I have shivering.
Lil one got body weak.,She has body weakness.
That one got belly pain.,My abdominal pain.
Old fella got back sore.,The elderly man has back pain.
I bin head hurtin’.,I have been experiencing headache.
She got heart go fast.,I have rapid heartbeat.
That one got back sore.,The elderly man has back pain.
Lil one got eyes blurry.,He has blurred vision.
That one got chest tight.,She has chest tightness.
He got sore throat.,I have been experiencing sore throat.
Lil one got can’t see straight.,She has blurred vision.
This one got leg swell up.,The children have swollen leg.
He got hot all night.,That person has fever.
I bin cryin’ lot.,That person has crying a lot.
Them kids got can’t breathe good.,The children have shortness of breath.
Them kids got heart go fast.,The elderly man has rapid heartbeat.
Lil one got belly pain.,I have abdominal pain.
My heart go fast.,I have rapid heartbeat.
Them kids got leg swell up.,The elderly man has swollen leg.
Me got talkin’ funny.,I have been experiencing slurred speech.
Old fella got sore throat.,The elderly man has sore throat.
He got blood nose.,She has nosebleed.
Old fella got hungry all time.,The elderly man has increased appetite.
I bin heart go fast.,That person has rapid heartbeat.
This one got head hurtin’.,I have been experiencing headache.
Me got body weak.,I have been experiencing body weakness.
Old fella got skin itchy.,The children have itchy skin.
He got eyes blurry.,I have blurred vision.
Them kids got vomit come up.,She has vomiting.
Them kids got chest tight.,I have been experiencing chest tightness.
Them kids got vomit come up.,The elderly man has vomiting.
Lil one got sore throat.,She has sore throat.
Me got chest tight.,This person has chest tightness.
He got shiverin’.,He has shivering.
Lil one got can’t walk good.,My difficulty walking.
Lil one got can’t see straight.,He has blurred vision.
She got hungry all time.,That person has increased appetite.
He got can’t walk good.,That person has difficulty walking.
I bin chest tight.,The elderly man has chest tightness.
He got heart go fast.,The elderly man has rapid heartbeat.
I bin head hurtin’.,The elderly man has headache.
She got back sore.,The children have back pain.
He got chest tight.,He has chest tightness.
That one got blood nose.,She has nosebleed.
Old fella got hot all night.,The child has fever.
She got skin rash.,This person has skin rash.
That one got cough bad.,She has severe cough.
Old fella got talkin’ funny.,That person has slurred speech.
That one got drink water plenty.,She has excessive thirst.
Old fella got throwin’ up.,I have been experiencing vomiting.
My cryin’ lot.,She has crying a lot.
Me got can’t breathe good.,I have been experiencing shortness of breath.
Lil one got cough bad.,The children have severe cough.
Lil one got chest tight.,That person has chest tightness.
Old fella got back sore.,The elderly man has back pain.
My ear sore.,He has earache.
This one got cryin’ lot.,That person has crying a lot.
He got can’t see straight.,She has blurred vision.
She got can’t breathe good.,The child has shortness of breath.
Me got hot all night.,That person has fever.
I bin body weak.,The children have body weakness.
He got skin rash.,I have been experiencing skin rash.
He got hungry all time.,I have increased appetite.
She got hot all night.,The child has fever.
My body weak.,I have body weakness.
Lil one got hungry all time.,This person has increased appetite.
I bin shiverin’.,That person has shivering.
Me got talkin’ funny.,He has slurred speech.
He got blood nose.,This person has nosebleed.
He got shiverin’.,This person has shivering.
Lil one got drink water plenty.,I have been experiencing excessive thirst.
Me got can’t breathe good.,He has shortness of breath.
Lil one got eyes blurry.,The elderly man has blurred vision.
That one got cough bad.,The elderly man has severe cough.
Lil one got belly pain.,The elderly man has abdominal pain.
He got skin itchy.,The child has itchy skin.
My hot all night.,My fever.
That one got belly pain.,I have abdominal pain.
I bin cough bad.,My severe cough.
She got back sore.,The children have back pain.
Me got can’t see straight.,That person has blurred vision.
Lil one got head hurtin’.,He has headache.
This one got leg swell up.,The child has swollen leg.
Lil one got can’t walk good.,He has difficulty walking.
Me got belly pain.,I have abdominal pain.
She got can’t see straight.,My blurred vision.
Lil one got ear sore.,She has earache.
Old fella got back sore.,The children have back pain.
I bin back sore.,That person has back pain.
My cryin’ lot.,I have been experiencing crying a lot.
Them kids got throwin’ up.,He has vomiting.
This one got head hurtin’.,I have headache.
That one got cryin’ lot.,My crying a lot.
Lil one got can’t breathe good.,She has shortness of breath.
My drink water plenty.,I have excessive thirst.
That one got throwin’ up.,I have vomiting.
Lil one got ear sore.,The child has earache.
Old fella got body weak.,That person has body weakness.
My leg swell up.,I have swollen leg.
I bin back sore.,I have been experiencing back pain.
Them kids got can’t breathe good.,The child has shortness of breath.
He got drink water plenty.,I have been experiencing excessive thirst.
He got blood nose.,That person has nosebleed.
Old fella got head hurtin’.,That person has headache.
Old fella got eyes blurry.,The children have blurred vision.
This one got blood nose.,I have nosebleed.
She got can’t breathe good.,The child has shortness of breath.
This one got back sore.,That person has back pain.
That one got can’t see straight.,That person has blurred vision.
Old fella got sore throat.,I have sore throat.
Lil one got sore throat.,The elderly man has sore throat.
He got hungry all time.,My increased appetite.
Old fella got cryin’ lot.,The elderly man has crying a lot.
I bin vomit come up.,That person has vomiting.
Them kids got cough bad.,I have been experiencing severe cough.
That one got can’t breathe good.,I have been experiencing shortness of breath.
She got blood nose.,I have nosebleed.
Lil one got can’t see straight.,My blurred vision.
She got drink water plenty.,The children have excessive thirst.
She got vomit come up.,I have been experiencing vomiting.
That one got leg swell up.,The child has swollen leg.
My can’t breathe good.,My shortness of breath.
She got skin itchy.,This person has itchy skin.
Lil one got eyes blurry.,The child has blurred vision.
He got heart go fast.,He has rapid heartbeat.
Lil one got sore throat.,This person has sore throat.
Old fella got shiverin’.,My shivering.
That one got throwin’ up.,I have been experiencing vomiting.
This one got blood nose.,This person has nosebleed.
This one got chest tight.,She has chest tightness.
This one got hot all night.,I have fever.
That one got shiverin’.,He has shivering.
Lil one got can’t see straight.,My blurred vision.
He got sore throat.,The child has sore throat.
She got can’t walk good.,The elderly man has difficulty walking.
Lil one got leg swell up.,He has swollen leg.
That one got skin itchy.,My itchy skin.
She got talkin’ funny.,That person has slurred speech.
She got chest tight.,My chest tightness.
Me got back sore.,My back pain.
Old fella got throwin’ up.,He has vomiting.
My shiverin’.,My shivering.
He got shiverin’.,I have been experiencing shivering.
This one got hot all night.,He has fever.
Me got shiverin’.,The elderly man has shivering.
He got cough bad.,The children have severe cough.
This one got chest tight.,He has chest tightness.
This one got drink water plenty.,The elderly man has excessive thirst.
Them kids got ear sore.,He has earache.
This one got skin rash.,I have been experiencing skin rash.
Lil one got cough bad.,This person has severe cough.
She got cryin’ lot.,I have been experiencing crying a lot.
Me got shiverin’.,She has shivering.
Old fella got back sore.,The child has back pain.
Old fella got can’t walk good.,He has difficulty walking.
She got vomit come up.,This person has vomiting.
Me got cough bad.,The child has severe cough.
He got back sore.,I have back pain.
He got talkin’ funny.,The children have slurred speech.
I bin cryin’ lot.,My crying a lot.
Old fella got heart go fast.,The elderly man has rapid heartbeat.
Me got chest tight.,The child has chest tightness.
He got heart go fast.,She has rapid heartbeat.
This one got can’t see straight.,I have been experiencing blurred vision.
He got can’t walk good.,She has difficulty walking.
I bin talkin’ funny.,That person has slurred speech.
Them kids got hungry all time.,I have been experiencing increased appetite.
This one got cryin’ lot.,The elderly man has crying a lot.
That one got shiverin’.,My shivering.
He got skin rash.,She has skin rash.
Them kids got hot all night.,The elderly man has fever.
My eyes blurry.,This person has blurred vision.
Them kids got talkin’ funny.,I have been experiencing slurred speech.
My heart go fast.,My rapid heartbeat.
He got chest tight.,The children have chest tightness.
That one got eyes blurry.,This person has blurred vision.
Them kids got belly pain.,She has abdominal pain.
That one got chest tight.,The child has chest tightness.
Old fella got sore throat.,I have sore throat.
This one got drink water plenty.,The elderly man has excessive thirst.
This one got ear sore.,The child has earache.
Me got ear sore.,This person has earache.
I bin hungry all time.,She has increased appetite.
Them kids got heart go fast.,The child has rapid heartbeat.
Lil one got hungry all time.,I have been experiencing increased appetite.
That one got cough bad.,My severe cough.
Me got head hurtin’.,She has headache.
This one got can’t walk good.,That person has difficulty walking.
She got can’t walk good.,My difficulty walking.
Old fella got skin rash.,She has skin rash.
Me got belly pain.,The child has abdominal pain.
Me got can’t breathe good.,The children have shortness of breath.
Them kids got cough bad.,That person has severe cough.
Old fella got throwin’ up.,She has vomiting.
She got eyes blurry.,The elderly man has blurred vision.
I bin talkin’ funny.,I have been experiencing slurred speech.
Old fella got vomit come up.,The children have vomiting.
That one got shiverin’.,He has shivering.
He got cough bad.,This person has severe cough.
I bin can’t breathe good.,The child has shortness of breath.
She got shiverin’.,He has shivering.
Them kids got throwin’ up.,That person has vomiting.
Them kids got throwin’ up.,That person has vomiting.
That one got belly pain.,This person has abdominal pain.
My ear sore.,The elderly man has earache.
He got belly pain.,The children have abdominal pain.
I bin cryin’ lot.,The children have crying a lot.
That one got talkin’ funny.,He has slurred speech.
He got vomit come up.,The child has vomiting.
I bin heart go fast.,The children have rapid heartbeat.
Old fella got drink water plenty.,He has excessive thirst.
This one got hot all night.,The elderly man has fever.
Lil one got drink water plenty.,My excessive thirst.
She got hot all night.,The child has fever.
That one got skin rash.,He has skin rash.
Me got ear sore.,My earache.
My can’t breathe good.,That person has shortness of breath.
Old fella got can’t see straight.,She has blurred vision.
Them kids got hungry all time.,The child has increased appetite.
This one got can’t walk good.,The elderly man has difficulty walking.
My hot all night.,The elderly man has fever.
Lil one got hungry all time.,My increased appetite.
Them kids got ear sore.,This person has earache.
She got can’t walk good.,I have been experiencing difficulty walking.
Old fella got body weak.,She has body weakness.
Lil one got hungry all time.,The child has increased appetite.
This one got throwin’ up.,The child has vomiting.
Me got belly pain.,She has abdominal pain.
I bin can’t breathe good.,My shortness of breath.
He got head hurtin’.,He has headache.
That one got belly pain.,The elderly man has abdominal pain.
She got throwin’ up.,I have vomiting.
Lil one got eyes blurry.,That person has blurred vision.
He got cough bad.,My severe cough.
Them kids got hot all night.,My fever.
He got leg swell up.,The child has swollen leg.
That one got belly pain.,I have abdominal pain.
Old fella got throwin’ up.,She has vomiting.
I bin heart go fast.,The children have rapid heartbeat.
This one got can’t see straight.,The child has blurred vision.
My cryin’ lot.,That person has crying a lot.
Me got belly pain.,She has abdominal pain.
Old fella got blood nose.,That person has nosebleed.
I bin drink water plenty.,The elderly man has excessive thirst.
Me got leg swell up.,I have been experiencing swollen leg.
Old fella got can’t see straight.,This person has blurred vision.
I bin body weak.,The child has body weakness.
My hungry all time.,The children have increased appetite.
He got leg swell up.,The children have swollen leg.
Them kids got body weak.,The elderly man has body weakness.
That one got heart go fast.,I have rapid heartbeat.
Lil one got blood nose.,I have been experiencing nosebleed.
He got cryin’ lot.,The child has crying a lot.
Me got hungry all time.,The children have increased appetite.
This one got can’t see straight.,That person has blurred vision.
She got ear sore.,The child has earache.
My body weak.,That person has body weakness.
That one got cryin’ lot.,My crying a lot.
Them kids got throwin’ up.,He has vomiting.
Lil one got heart go fast.,He has rapid heartbeat.
She got can’t walk good.,That person has difficulty walking.
I bin cryin’ lot.,That person has crying a lot.
Old fella got sore throat.,That person has sore throat.
I bin cryin’ lot.,He has crying a lot.
Lil one got body weak.,The elderly man has body weakness.
Me got skin itchy.,I have itchy skin.
This one got cough bad.,This person has severe cough.
Them kids got can’t breathe good.,The child has shortness of breath.
He got talkin’ funny.,The child has slurred speech.
This one got belly pain.,I have been experiencing abdominal pain.
My throwin’ up.,The child has vomiting.
Them kids got drink water plenty.,My excessive thirst.
Lil one got can’t walk good.,That person has difficulty walking.
Old fella got drink water plenty.,I have been experiencing excessive thirst.
My drink water plenty.,He has excessive thirst.
I bin heart go fast.,She has rapid heartbeat.
Lil one got heart go fast.,That person has rapid heartbeat.
She got drink water plenty.,He has excessive thirst.
Them kids got blood nose.,My nosebleed.
Them kids got cryin’ lot.,I have been experiencing crying a lot.
Old fella got talkin’ funny.,That person has slurred speech.
I bin hot all night.,This person has fever.
Old fella got vomit come up.,The elderly man has vomiting.
I bin ear sore.,She has earache.
This one got leg swell up.,My swollen leg.
This one got can’t see straight.,I have been experiencing blurred vision.
That one got blood nose.,This person has nosebleed.
He got head hurtin’.,That person has headache.
Me got ear sore.,This person has earache.
Lil one got heart go fast.,He has rapid heartbeat.
Them kids got eyes blurry.,The child has blurred vision.
Them kids got body weak.,That person has body weakness.
My blood nose.,He has nosebleed.
Old fella got eyes blurry.,This person has blurred vision.
That one got can’t breathe good.,She has shortness of breath.
Me got talkin’ funny.,I have been experiencing slurred speech.
My leg swell up.,The children have swollen leg.
Me got heart go fast.,He has rapid heartbeat.
Them kids got can’t breathe good.,The child has shortness of breath.
That one got back sore.,He has back pain.
My shiverin’.,I have shivering.
My chest tight.,I have been experiencing chest tightness.
That one got chest tight.,The elderly man has chest tightness.
She got ear sore.,I have been experiencing earache.
My shiverin’.,He has shivering.
Lil one got cryin’ lot.,He has crying a lot.
Old fella got vomit come up.,The children have vomiting.
Them kids got back sore.,This person has back pain.
Them kids got hot all night.,The children have fever.
He got vomit come up.,The child has vomiting.
I bin skin rash.,The children have skin rash.
My can’t see straight.,The child has blurred vision.
Them kids got vomit come up.,She has vomiting.
Old fella got shiverin’.,The elderly man has shivering.
This one got heart go fast.,My rapid heartbeat.
Them kids got leg swell up.,I have swollen leg.
My skin rash.,He has skin rash.
My drink water plenty.,The child has excessive thirst.
She got hungry all time.,The children have increased appetite.
He got hungry all time.,He has increased appetite.
Old fella got back sore.,He has back pain.
Me got skin itchy.,My itchy skin.
She got cryin’ lot.,The child has crying a lot.
She got blood nose.,I have been experiencing nosebleed.
I bin ear sore.,The child has earache.
I bin hot all night.,The elderly man has fever.
Me got hungry all time.,I have been experiencing increased appetite.
Old fella got drink water plenty.,The child has excessive thirst.
She got body weak.,I have body weakness.
Old fella got hungry all time.,I have been experiencing increased appetite.
That one got shiverin’.,The children have shivering.
Them kids got back sore.,I have been experiencing back pain.
Lil one got drink water plenty.,The children have excessive thirst.
Me got eyes blurry.,I have been experiencing blurred vision.
That one got chest tight.,The children have chest tightness.
My heart go fast.,This person has rapid heartbeat.
She got throwin’ up.,This person has vomiting.
She got blood nose.,The elderly man has nosebleed.
That one got shiverin’.,The elderly man has shivering.
My hungry all time.,He has increased appetite.
Old fella got ear sore.,I have earache.
Old fella got cryin’ lot.,The children have crying a lot.
Them kids got body weak.,He has body weakness.
My throwin’ up.,That person has vomiting.
That one got can’t see straight.,I have been experiencing blurred vision.
That one got blood nose.,That person has nosebleed.
He got chest tight.,I have been experiencing chest tightness.
I bin belly pain.,This person has abdominal pain.
This one got shiverin’.,I have been experiencing shivering.
Old fella got can’t breathe good.,That person has shortness of breath.
She got cryin’ lot.,I have been experiencing crying a lot.
Me got eyes blurry.,I have been experiencing blurred vision.
Me got cryin’ lot.,I have crying a lot.
That one got heart go fast.,That person has rapid heartbeat.
This one got can’t walk good.,My difficulty walking.
Lil one got belly pain.,He has abdominal pain.
Me got skin itchy.,I have been experiencing itchy skin.
Old fella got body weak.,I have body weakness.
Me got sore throat.,The elderly man has sore throat.
Old fella got can’t see straight.,The child has blurred vision.
Old fella got eyes blurry.,This person has blurred vision.
Them kids got drink water plenty.,The children have excessive thirst.
I bin heart go fast.,The children have rapid heartbeat.
Lil one got belly pain.,I have been experiencing abdominal pain.
Lil one got sore throat.,This person has sore throat.
I bin can’t walk good.,This person has difficulty walking.
I bin skin rash.,I have skin rash.
This one got vomit come up.,The children have vomiting.
He got can’t breathe good.,That person has shortness of breath.
Me got ear sore.,The children have earache.
I bin head hurtin’.,This person has headache.
Lil one got eyes blurry.,She has blurred vision.
My skin rash.,My skin rash.
That one got drink water plenty.,I have been experiencing excessive thirst.
Me got throwin’ up.,I have vomiting.
Me got hungry all time.,The children have increased appetite.
My heart go fast.,She has rapid heartbeat.
My can’t see straight.,The child has blurred vision.
Old fella got cryin’ lot.,He has crying a lot.
Me got belly pain.,The elderly man has abdominal pain.
Old fella got head hurtin’.,I have been experiencing headache.
Old fella got heart go fast.,He has rapid heartbeat.
He got cryin’ lot.,I have crying a lot.
Them kids got blood nose.,My nosebleed.
I bin can’t breathe good.,The children have shortness of breath.
Them kids got cough bad.,I have severe cough.
Me got vomit come up.,This person has vomiting.
She got shiverin’.,He has shivering.
That one got skin rash.,I have skin rash.
I bin hungry all time.,The elderly man has increased appetite.
This one got hot all night.,The child has fever.
Lil one got back sore.,He has back pain.
She got eyes blurry.,The child has blurred vision.
That one got chest tight.,I have chest tightness.
Lil one got vomit come up.,The children have vomiting.
Lil one got talkin’ funny.,The child has slurred speech.
Them kids got leg swell up.,The elderly man has swollen leg.
I bin throwin’ up.,The child has vomiting.
Old fella got back sore.,This person has back pain.
My skin itchy.,The child has itchy skin.
Them kids got talkin’ funny.,She has slurred speech.
I bin skin itchy.,The children have itchy skin.
Me got cryin’ lot.,The elderly man has crying a lot.
Them kids got cough bad.,She has severe cough.
That one got throwin’ up.,The elderly man has vomiting.
I bin can’t breathe good.,The children have shortness of breath.
Me got blood nose.,My nosebleed.
Them kids got belly pain.,The children have abdominal pain.
Old fella got belly pain.,This person has abdominal pain.
My skin rash.,This person has skin rash.
That one got body weak.,The children have body weakness.
I bin talkin’ funny.,The children have slurred speech.
Me got sore throat.,That person has sore throat.
This one got talkin’ funny.,This person has slurred speech.
This one got hot all night.,That person has fever.
Old fella got skin rash.,The elderly man has skin rash.
My skin rash.,The children have skin rash.
He got throwin’ up.,This person has vomiting.
She got body weak.,My body weakness.
Them kids got cough bad.,He has severe cough.
My cough bad.,I have been experiencing severe cough.
That one got talkin’ funny.,She has slurred speech.
He got hot all night.,She has fever.
Lil one got eyes blurry.,I have been experiencing blurred vision.
He got sore throat.,This person has sore throat.
She got heart go fast.,I have rapid heartbeat.
Lil one got skin rash.,The child has skin rash.
That one got hungry all time.,She has increased appetite.
This one got blood nose.,He has nosebleed.
Lil one got hot all night.,That person has fever.
He got vomit come up.,I have vomiting.
Them kids got vomit come up.,I have vomiting.
That one got vomit come up.,I have been experiencing vomiting.
This one got head hurtin’.,That person has headache.
Them kids got can’t breathe good.,The child has shortness of breath.
I bin skin rash.,The children have skin rash.
Lil one got throwin’ up.,This person has vomiting.
He got talkin’ funny.,My slurred speech.
My can’t see straight.,He has blurred vision.
This one got back sore.,The child has back pain.
I bin can’t see straight.,He has blurred vision.
I bin vomit come up.,The children have vomiting.
She got throwin’ up.,My vomiting.
Old fella got cough bad.,She has severe cough.
Lil one got cryin’ lot.,My crying a lot.
My belly pain.,The child has abdominal pain.
Me got belly pain.,The children have abdominal pain.
Old fella got skin rash.,She has skin rash.
My leg swell up.,That person has swollen leg.
Lil one got eyes blurry.,The child has blurred vision.
I bin body weak.,He has body weakness.
That one got chest tight.,The child has chest tightness.
He got hungry all time.,I have been experiencing increased appetite.
Lil one got body weak.,The child has body weakness.
She got sore throat.,I have been experiencing sore throat.
That one got back sore.,My back pain.
She got eyes blurry.,The child has blurred vision.
She got drink water plenty.,That person has excessive thirst.
Lil one got sore throat.,She has sore throat.
That one got sore throat.,I have been experiencing sore throat.
That one got sore throat.,She has sore throat.
Old fella got can’t breathe good.,This person has shortness of breath.
Them kids got drink water plenty.,That person has excessive thirst.
Them kids got leg swell up.,My swollen leg.
Old fella got cough bad.,The child has severe cough.
She got hot all night.,This person has fever.
She got can’t walk good.,He has difficulty walking.
She got drink water plenty.,The children have excessive thirst.
He got cough bad.,The elderly man has severe cough.
Them kids got cough bad.,The child has severe cough.
She got skin itchy.,The child has itchy skin.
He got head hurtin’.,The child has headache.
Them kids got body weak.,The child has body weakness.
That one got vomit come up.,The elderly man has vomiting.
Lil one got belly pain.,I have abdominal pain.
Them kids got belly pain.,She has abdominal pain.
That one got talkin’ funny.,This person has slurred speech.
I bin skin itchy.,This person has itchy skin.
I bin ear sore.,I have earache.
That one got belly pain.,That person has abdominal pain.
My body weak.,He has body weakness.
Me got cough bad.,The elderly man has severe cough.
Them kids got chest tight.,The elderly man has chest tightness.
Lil one got hungry all time.,That person has increased appetite.
I bin head hurtin’.,My headache.
Them kids got shiverin’.,The children have shivering.
Lil one got skin itchy.,She has itchy skin.
Them kids got belly pain.,The elderly man has abdominal pain.
Old fella got ear sore.,That person has earache.
My skin rash.,This person has skin rash.
This one got back sore.,This person has back pain.
He got body weak.,I have body weakness.
She got cough bad.,She has severe cough.
That one got can’t walk good.,She has difficulty walking.
That one got skin rash.,This person has skin rash.
Lil one got talkin’ funny.,I have slurred speech.
He got shiverin’.,He has shivering.
I bin cryin’ lot.,This person has crying a lot.
She got can’t breathe good.,The child has shortness of breath.
My back sore.,She has back pain.
Lil one got can’t breathe good.,That person has shortness of breath.
My drink water plenty.,I have been experiencing excessive thirst.
This one got ear sore.,The elderly man has earache.
Old fella got leg swell up.,This person has swollen leg.
Old fella got throwin’ up.,That person has vomiting.
Old fella got talkin’ funny.,My slurred speech.
That one got leg swell up.,This person has swollen leg.
He got cryin’ lot.,My crying a lot.
This one got throwin’ up.,The child has vomiting.
Them kids got skin rash.,I have skin rash.
My shiverin’.,I have shivering.
Me got shiverin’.,This person has shivering.
That one got hungry all time.,She has increased appetite.
Old fella got heart go fast.,I have rapid heartbeat.
He got blood nose.,The child has nosebleed.
This one got can’t walk good.,That person has difficulty walking.
Old fella got skin itchy.,The elderly man has itchy skin.
This one got hungry all time.,The elderly man has increased appetite.
He got skin itchy.,The elderly man has itchy skin.
That one got vomit come up.,The child has vomiting.
Them kids got ear sore.,The child has earache.
